date,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,ozone,temperature_2m_mean,precipitation_sum,windspeed_10m_max,relative_humidity_2m_mean,cough,asthma,pm25_score,multi_pollutant_score,weather_score,health_proxy_score,health_risk_score,risk_children,risk_elderly,risk_asthma,risk_healthy,risk_level
2022-08-16,15.754166666666668,22.854166666666668,314.7916666666667,12.845833333333331,73.08333333333333,22.2,5.2,7.0,89,34.0,11.0,21.13125,27.18,55.19,24.8,30.01,37.51,31.71,34.33,30.01,Moderate
2022-08-17,24.5125,35.11666666666667,478.6666666666667,19.8625,73.5,22.3,1.5,9.2,90,34.0,11.0,34.26875,35.32,52.18,24.8,36.69,45.86,37.59,38.4,36.69,Moderate
2022-08-18,19.34583333333333,27.666666666666668,391.5416666666667,14.058333333333332,79.5,22.9,5.2,7.3,88,34.0,11.0,26.518749999999997,30.37,53.37,24.8,32.59,40.74,33.94,36.93,32.59,Moderate
2022-08-19,17.479166666666668,25.041666666666668,390.5,14.529166666666669,77.33333333333333,22.4,41.4,7.7,90,34.0,11.0,23.71875,30.37,54.3,24.8,31.66,39.58,33.19,35.77,31.66,Moderate
2022-08-20,16.616666666666667,23.816666666666663,472.0416666666667,21.125,62.79166666666666,22.3,25.5,5.7,87,34.0,11.0,22.425,34.45,56.15,24.8,32.53,40.66,34.22,33.26,32.53,Moderate
2022-08-21,11.195833333333333,16.216666666666665,306.3333333333333,13.133333333333333,65.5,22.5,2.1,8.3,86,34.0,12.0,14.927777777777777,26.02,51.55,25.2,26.57,33.21,28.4,30.23,26.57,Moderate
2022-08-22,17.116666666666667,24.84166666666667,399.375,17.75,65.0,22.6,1.8,6.8,86,34.0,12.0,23.175,31.02,53.67,25.2,31.54,39.42,33.06,33.46,31.54,Moderate
2022-08-23,21.175,30.570833333333336,495.875,22.2375,62.5,22.5,18.0,6.5,88,34.0,12.0,29.262500000000003,35.64,55.11,25.2,35.42,44.28,36.71,35.46,35.42,Moderate
2022-08-24,25.541666666666668,36.625,562.0833333333334,23.77916666666667,67.54166666666667,22.6,17.5,5.6,88,34.0,12.0,35.8125,38.71,56.32,25.2,39.05,48.81,40.07,38.84,39.05,Moderate
2022-08-25,18.5125,26.479166666666668,439.7083333333333,16.770833333333332,72.0,22.9,3.5,9.3,87,34.0,12.0,25.268749999999997,32.01,49.95,25.2,31.88,39.85,33.11,34.61,31.88,Moderate
2022-08-26,20.77083333333333,29.729166666666668,381.7916666666667,10.920833333333334,96.125,22.6,8.0,7.3,90,34.0,12.0,28.656249999999993,30.48,54.63,25.2,33.79,42.24,35.09,40.76,33.79,Moderate
2022-08-27,30.6875,43.875,494.8333333333333,12.829166666666666,96.54166666666669,22.1,11.6,7.2,92,34.0,12.0,43.53125,33.78,56.3,25.2,40.9,51.12,41.54,46.37,40.9,High
2022-08-28,14.458333333333334,20.65,457.5416666666667,11.0875,103.91666666666669,21.2,23.0,8.4,94,29.0,10.0,19.27777777777778,33.05,56.56,21.4,30.5,38.12,32.36,38.59,30.5,Moderate
2022-08-29,18.729166666666668,26.745833333333334,467.4583333333333,13.570833333333333,91.33333333333331,21.9,10.4,6.4,91,29.0,10.0,25.59375,33.09,57.34,21.4,33.19,41.49,34.78,38.86,33.19,Moderate
2022-08-30,21.441666666666663,30.6125,467.125,12.670833333333334,92.91666666666669,22.1,2.9,9.4,90,29.0,10.0,29.662499999999994,32.63,52.15,21.4,33.66,42.08,34.79,39.51,33.66,Moderate
2022-08-31,24.604166666666668,35.19166666666667,517.875,15.358333333333334,86.125,21.6,10.4,5.5,92,29.0,10.0,34.40625,34.41,59.52,21.4,37.48,46.85,38.73,41.51,37.48,Moderate
2022-09-01,24.866666666666664,35.50833333333333,547.625,16.666666666666668,85.29166666666667,21.3,57.7,6.2,93,29.0,10.0,34.8,35.76,59.3,21.4,37.93,47.41,39.15,41.47,37.93,Moderate
2022-09-02,23.3125,33.35,497.2083333333333,11.3,97.29166666666669,21.5,3.5,9.4,93,29.0,10.0,32.46875,32.71,54.23,21.4,35.22,44.02,36.31,41.64,35.22,Moderate
2022-09-03,22.125,31.6375,490.9583333333333,11.066666666666668,103.54166666666669,22.2,10.3,9.0,89,29.0,10.0,30.6875,33.47,52.19,21.4,34.29,42.86,35.37,41.65,34.29,Moderate
2022-09-04,22.65416666666667,32.67916666666667,453.2083333333333,11.0875,110.41666666666669,22.0,4.4,6.7,90,35.0,12.0,31.481250000000003,34.07,56.33,25.8,36.25,45.31,37.49,44.56,36.25,Moderate
2022-09-05,21.6,31.0125,468.125,13.345833333333331,101.04166666666669,22.0,9.4,8.3,90,35.0,12.0,29.900000000000002,34.54,53.93,25.8,35.25,44.06,36.45,41.96,35.25,Moderate
2022-09-06,23.08333333333333,33.229166666666664,454.5,12.675,101.45833333333331,22.2,7.0,5.8,89,35.0,12.0,32.12499999999999,33.87,56.99,25.8,36.59,45.74,37.83,43.42,36.59,Moderate
2022-09-07,22.6125,32.3375,538.75,19.316666666666663,85.875,21.6,8.9,6.5,90,35.0,12.0,31.418750000000003,37.85,57.16,25.8,37.33,46.66,38.62,40.61,37.33,Moderate
2022-09-08,26.2625,37.59583333333333,616.4583333333334,25.21666666666667,76.5,21.4,13.6,4.9,90,35.0,12.0,36.89375,42.17,59.83,25.8,41.14,51.42,42.28,41.5,41.14,High
2022-09-09,23.4375,33.545833333333334,573.4166666666666,25.204166666666666,61.625,21.2,18.2,6.6,90,35.0,12.0,32.65625,39.04,57.55,25.8,38.2,47.75,39.45,37.08,38.2,Moderate
2022-09-10,19.8875,28.454166666666666,505.75,21.454166666666666,67.25,21.2,22.5,6.6,89,35.0,12.0,27.331249999999997,35.96,57.12,25.8,35.22,44.02,36.71,36.07,35.22,Moderate
2022-09-11,21.27083333333333,30.433333333333334,476.4166666666667,15.629166666666668,81.33333333333333,21.4,21.3,6.3,89,37.0,14.0,29.406249999999993,33.21,57.3,27.8,35.7,44.62,37.09,39.48,35.7,Moderate
2022-09-12,17.941666666666666,25.65416666666667,488.5,18.979166666666668,67.20833333333333,21.3,9.7,7.7,88,37.0,14.0,24.4125,33.71,54.91,27.8,33.34,41.68,34.87,34.9,33.34,Moderate
2022-09-13,17.083333333333332,24.45833333333333,492.7083333333333,19.429166666666667,57.208333333333336,21.6,5.0,4.4,87,37.0,14.0,23.125,32.47,59.03,27.8,33.34,41.68,35.14,33.6,33.34,Moderate
2022-09-14,12.795833333333334,18.275,325.4166666666667,10.475,64.45833333333333,21.3,27.9,7.1,89,37.0,14.0,17.06111111111111,24.0,56.24,27.8,28.24,35.3,30.2,32.13,28.24,Moderate
2022-09-15,11.895833333333334,16.9875,328.2083333333333,12.566666666666668,62.708333333333336,21.4,4.9,9.2,89,37.0,14.0,15.861111111111112,25.43,52.95,27.8,27.46,34.33,29.32,30.76,27.46,Moderate
2022-09-16,16.179166666666667,23.141666666666666,372.9583333333333,12.1125,70.875,21.0,16.0,6.8,90,37.0,14.0,21.76875,27.1,57.51,27.8,31.15,38.94,32.94,35.1,31.15,Moderate
2022-09-17,16.7,23.891666666666666,426.9166666666667,15.483333333333334,75.70833333333333,20.8,12.1,8.2,92,37.0,14.0,22.549999999999997,31.41,56.54,27.8,32.35,40.44,34.05,35.99,32.35,Moderate
2022-09-18,23.525,33.625,516.8333333333334,18.075,79.20833333333333,21.0,8.0,7.6,90,44.0,13.0,32.787499999999994,35.41,56.31,31.6,37.97,47.46,39.15,40.68,37.97,Moderate
2022-09-19,26.8375,38.37083333333333,547.4166666666666,18.529166666666665,84.91666666666667,21.6,9.6,6.1,88,44.0,13.0,37.756249999999994,37.19,56.91,31.6,40.52,50.65,41.48,43.49,40.52,High
2022-09-20,26.275,37.56666666666667,528.4583333333334,18.20833333333333,78.91666666666667,21.9,17.2,5.6,88,44.0,13.0,36.912499999999994,35.65,57.26,31.6,39.87,49.84,40.89,42.26,39.87,Moderate
2022-09-21,15.129166666666668,21.704166666666666,351.875,12.458333333333334,73.5,21.4,8.8,6.6,89,44.0,13.0,20.19375,27.49,56.85,31.6,31.06,38.82,32.89,35.43,31.06,Moderate
2022-09-22,15.758333333333333,22.675,360.9583333333333,13.7875,72.91666666666667,21.6,10.8,7.2,87,44.0,13.0,21.1375,28.6,54.83,31.6,31.31,39.14,33.0,35.26,31.31,Moderate
2022-09-23,20.7375,29.7875,468.5833333333333,18.629166666666663,77.54166666666667,21.4,3.8,5.6,89,44.0,13.0,28.606250000000003,34.86,58.35,31.6,36.57,45.71,38.05,39.35,36.57,Moderate
2022-09-24,16.395833333333332,23.479166666666668,426.75,15.104166666666666,82.08333333333333,20.8,5.1,7.7,91,44.0,13.0,22.09375,32.17,56.86,31.6,32.99,41.24,34.73,37.53,32.99,Moderate
2022-09-25,22.27916666666667,31.8125,476.8333333333333,14.5625,86.41666666666667,20.3,1.9,8.5,90,37.0,7.0,30.918750000000003,33.21,55.9,25.0,35.6,44.5,36.85,40.15,35.6,Moderate
2022-09-26,25.4875,36.458333333333336,523.9166666666666,16.645833333333332,90.125,20.2,3.7,8.2,91,37.0,7.0,35.73125,36.2,56.91,25.0,38.47,48.09,39.53,42.66,38.47,Moderate
2022-09-27,24.9625,35.704166666666666,509.125,14.675,92.25,19.9,1.5,8.2,91,37.0,7.0,34.943749999999994,34.75,57.31,25.0,37.88,47.35,39.0,42.82,37.88,Moderate
2022-09-28,23.2625,33.225,566.875,19.416666666666668,81.33333333333333,20.2,2.2,10.0,90,37.0,7.0,32.39375,37.59,53.78,25.0,36.86,46.08,37.93,39.4,36.86,Moderate
2022-09-29,21.091666666666665,30.15,553.4166666666666,19.3375,78.08333333333333,19.9,1.5,8.4,89,37.0,7.0,29.137499999999996,36.79,56.15,25.0,35.83,44.79,37.18,38.19,35.83,Moderate
2022-09-30,25.08333333333333,35.8875,598.8333333333334,23.27916666666667,75.625,20.6,8.4,8.7,89,37.0,7.0,35.12499999999999,40.21,54.77,25.0,38.81,48.51,39.79,39.6,38.81,Moderate
2022-10-01,29.45833333333333,42.1625,677.0416666666666,28.495833333333334,71.66666666666667,19.9,11.4,5.9,88,37.0,7.0,41.68749999999999,44.9,59.47,25.0,43.54,54.42,44.43,42.18,43.54,High
2022-10-02,25.820833333333336,36.92083333333333,571.9583333333334,22.941666666666663,76.5,20.9,2.4,7.3,83,47.0,8.0,36.23125,39.68,53.9,31.4,39.9,49.88,40.79,40.92,39.9,Moderate
2022-10-03,28.52083333333333,40.78333333333333,604.6666666666666,23.40416666666667,74.83333333333333,21.6,2.1,7.0,82,47.0,8.0,40.28124999999999,40.27,52.99,31.4,41.49,51.86,42.12,41.88,41.49,High
2022-10-04,22.3125,31.879166666666663,487.9166666666667,15.745833333333332,68.45833333333333,20.0,16.3,6.8,91,47.0,8.0,30.96875,31.33,59.28,31.4,36.79,45.99,38.2,38.81,36.79,Moderate
2022-10-05,15.933333333333332,22.78333333333333,370.125,18.016666666666666,46.625,19.7,31.4,8.7,93,47.0,8.0,21.4,27.74,57.68,31.4,31.74,39.67,33.56,31.51,31.74,Moderate
2022-10-06,15.683333333333332,22.433333333333334,353.5,15.225,52.79166666666666,19.1,28.5,7.1,94,47.0,8.0,21.025,26.28,61.31,31.4,31.95,39.94,33.97,33.13,31.95,Moderate
2022-10-07,20.0375,28.75,418.5833333333333,17.479166666666668,54.29166666666666,19.6,5.0,9.8,89,47.0,8.0,27.556250000000002,29.31,54.45,31.4,33.95,42.44,35.29,34.29,33.95,Moderate
2022-10-08,26.441666666666663,37.895833333333336,513.4583333333334,19.5125,59.66666666666666,20.2,1.4,11.9,85,47.0,8.0,37.162499999999994,33.26,48.79,31.4,37.65,47.06,38.23,37.42,37.65,Moderate
2022-10-09,21.004166666666663,30.120833333333334,511.1666666666667,23.079166666666666,50.833333333333336,20.0,6.8,11.1,87,40.0,12.0,29.006249999999994,34.6,51.11,28.8,34.79,43.49,35.9,33.17,34.79,Moderate
2022-10-10,24.21666666666667,34.75416666666667,510.5833333333333,24.925,45.25,19.5,1.4,9.8,87,40.0,12.0,33.825,35.14,53.73,28.8,37.38,46.72,38.38,34.45,37.38,Moderate
2022-10-11,23.55,33.71666666666667,432.0416666666667,19.70833333333333,54.625,19.1,0.2,10.3,83,40.0,12.0,32.825,31.35,51.8,28.8,35.65,44.56,36.6,35.27,35.65,Moderate
2022-10-12,20.058333333333334,28.683333333333334,374.75,14.370833333333332,69.25,18.6,3.5,8.0,90,40.0,12.0,27.5875,28.66,58.91,28.8,34.3,42.88,35.87,37.3,34.3,Moderate
2022-10-13,22.941666666666663,32.7875,382.125,13.4125,81.20833333333333,18.4,2.9,6.8,89,40.0,12.0,31.912499999999994,30.0,60.55,28.8,36.7,45.88,38.13,41.13,36.7,Moderate
2022-10-14,24.5875,35.2,435.125,15.275,76.625,17.9,1.0,7.8,86,40.0,12.0,34.381249999999994,31.52,58.43,28.8,37.64,47.05,38.84,40.81,37.64,Moderate
2022-10-15,29.433333333333334,42.1375,559.7083333333334,21.9625,74.75,17.5,0.5,7.4,85,40.0,12.0,41.65,38.42,59.14,28.8,42.41,53.01,43.29,43.18,42.41,High
2022-10-16,32.829166666666666,47.10416666666666,582.375,22.09166666666667,72.375,17.6,0.0,7.6,82,41.0,12.0,46.74375,38.47,57.42,29.4,44.21,55.26,44.74,44.32,44.21,High
2022-10-17,31.73333333333333,45.49166666666667,617.5,24.3875,76.41666666666667,17.6,0.0,6.7,70,41.0,12.0,45.099999999999994,41.51,53.63,29.4,43.55,54.44,43.98,43.66,43.55,High
2022-10-18,34.00833333333333,48.6125,574.875,22.29583333333333,81.5,16.8,0.0,12.3,69,41.0,12.0,48.5125,40.04,45.86,29.4,43.0,53.75,42.86,44.14,43.0,High
2022-10-19,27.383333333333336,39.266666666666666,537.2916666666666,23.6625,81.41666666666667,16.0,0.5,8.3,73,41.0,12.0,38.575,40.56,54.65,29.4,40.91,51.14,41.71,42.41,40.91,High
2022-10-20,31.679166666666664,45.59166666666667,642.7916666666666,27.791666666666668,68.125,15.8,0.0,8.7,75,41.0,12.0,45.01875,43.23,55.17,29.4,44.26,55.32,44.77,42.55,44.26,High
2022-10-21,33.63333333333333,48.39166666666667,701.8333333333334,30.0375,68.70833333333333,16.3,0.9,8.2,71,41.0,12.0,47.95,46.01,53.54,29.4,45.8,57.25,46.08,43.35,45.8,High
2022-10-22,32.82083333333333,47.07916666666667,736.7916666666666,33.233333333333334,72.70833333333333,16.3,0.4,9.2,67,41.0,12.0,46.73125,49.76,50.32,29.4,45.61,57.01,45.79,42.95,45.61,High
2022-10-23,25.391666666666666,36.34583333333333,669.75,31.808333333333334,74.54166666666667,17.8,0.0,6.2,56,49.0,10.0,35.5875,47.92,48.11,33.4,40.85,51.06,41.47,39.51,40.85,High
2022-10-24,23.241666666666664,33.2625,605.5,24.816666666666663,78.33333333333333,18.8,0.0,10.2,57,49.0,10.0,32.3625,41.99,41.2,33.4,36.69,45.86,37.13,37.63,36.69,Moderate
2022-10-25,26.3,37.6125,467.5833333333333,14.125,98.625,17.1,0.0,10.9,83,49.0,10.0,36.95,34.75,53.56,33.4,39.19,48.99,40.02,45.09,39.19,Moderate
2022-10-26,44.925,64.25416666666666,519.7083333333334,9.591666666666669,116.83333333333331,16.2,0.0,9.7,83,49.0,10.0,59.925,34.94,56.56,33.4,49.03,61.29,48.86,56.77,49.03,High
2022-10-27,57.0375,81.60416666666667,645.875,17.166666666666668,112.33333333333331,16.3,0.8,9.7,85,49.0,10.0,70.53618421052632,42.14,57.29,33.4,55.22,69.03,54.56,59.88,55.22,High
2022-10-28,56.95,81.70416666666667,759.25,25.125,99.45833333333331,16.0,0.0,8.9,83,49.0,10.0,70.51315789473685,48.07,58.03,33.4,56.84,71.05,56.21,57.87,56.84,High
2022-10-29,42.92083333333333,61.55833333333334,795.375,29.766666666666666,86.08333333333333,16.3,0.9,7.6,77,49.0,10.0,57.92083333333333,50.09,57.01,33.4,52.1,65.12,52.06,51.03,52.1,High
2022-10-30,32.77916666666667,46.95,764.7083333333334,30.15416666666667,78.0,17.0,0.0,9.4,68,42.0,11.0,46.66875,48.59,49.52,29.6,45.16,56.45,45.3,43.68,45.16,High
2022-10-31,28.891666666666666,41.325,785.625,32.59166666666667,66.0,16.8,0.0,7.7,68,42.0,11.0,40.8375,48.86,52.34,29.6,43.46,54.32,44.03,40.2,43.46,High
2022-11-01,28.52916666666667,40.825,681.375,27.3625,75.29166666666667,16.5,0.0,11.6,64,42.0,11.0,40.29375,44.66,45.17,29.6,40.76,50.95,41.0,40.13,40.76,High
2022-11-02,38.025,54.32083333333333,670.1666666666666,21.941666666666663,80.58333333333333,16.3,0.0,8.7,62,42.0,11.0,53.025,41.04,48.93,29.6,45.7,57.12,45.49,46.22,45.7,High
2022-11-03,47.70416666666667,68.12083333333334,730.75,24.4625,91.58333333333331,15.7,0.0,9.5,69,42.0,11.0,62.70416666666667,45.8,51.53,29.6,51.28,64.1,50.72,51.96,51.28,High
2022-11-04,55.12916666666666,79.04583333333333,934.3333333333334,31.570833333333336,88.20833333333333,16.2,0.0,8.7,76,42.0,11.0,70.03399122807018,53.97,55.06,29.6,56.96,71.2,56.21,54.67,56.96,High
2022-11-05,47.00416666666666,67.2625,918.8333333333334,29.370833333333334,88.875,16.7,0.4,8.1,77,42.0,11.0,62.00416666666666,52.09,55.73,29.6,53.41,66.76,53.1,52.1,53.41,High
2022-11-06,44.56666666666666,63.69583333333333,838.3333333333334,28.53333333333333,86.75,16.8,0.0,8.1,73,49.0,10.0,59.56666666666666,49.86,53.88,33.4,52.08,65.1,51.79,51.09,52.08,High
2022-11-07,38.54583333333333,55.07083333333333,738.1666666666666,23.183333333333334,85.875,15.1,0.0,10.2,79,49.0,10.0,53.54583333333333,43.93,55.57,33.4,48.52,60.65,48.63,49.18,48.52,High
2022-11-08,47.1125,67.42083333333333,598.9583333333334,15.920833333333334,100.25,15.5,0.0,8.1,76,49.0,10.0,62.1125,38.43,56.9,33.4,50.84,63.55,50.58,54.84,50.84,High
2022-11-09,50.20416666666667,71.81666666666666,527.5416666666666,10.9125,108.95833333333331,15.1,0.7,6.4,81,49.0,10.0,65.20416666666668,34.8,62.12,33.4,52.22,65.28,52.06,58.42,52.22,High
2022-11-10,46.37083333333334,66.28333333333333,586.125,13.370833333333332,103.04166666666669,14.9,0.3,9.6,82,49.0,10.0,61.37083333333334,36.66,58.02,33.4,50.33,62.91,50.16,55.27,50.33,High
2022-11-11,54.50833333333333,77.77916666666667,700.125,17.375,93.95833333333331,14.4,2.4,10.9,81,49.0,10.0,69.50833333333333,40.06,56.31,33.4,54.09,67.61,53.43,56.26,54.09,High
2022-11-12,54.59166666666667,78.09583333333333,716.125,19.725,87.79166666666667,13.7,0.0,12.0,77,49.0,10.0,69.59166666666667,41.15,53.88,33.4,53.91,67.39,53.12,54.78,53.91,High
2022-11-13,55.6875,79.69583333333334,787.7916666666666,22.816666666666663,83.33333333333333,13.2,0.0,8.8,79,51.0,14.0,70.18092105263158,43.96,60.2,36.2,56.53,70.66,56.03,55.92,56.53,High
2022-11-14,62.99583333333334,89.99166666666667,854.0,24.0,87.41666666666667,13.1,0.0,10.7,80,51.0,14.0,72.10416666666667,46.58,57.91,36.2,57.5,71.88,56.79,56.82,57.5,High
2022-11-15,68.34583333333333,97.5375,896.9583333333334,25.6125,89.79166666666667,14.0,0.0,10.5,77,51.0,14.0,73.51206140350877,48.91,55.73,36.2,58.21,72.76,57.32,57.27,58.21,High
2022-11-16,64.77083333333333,92.49583333333334,806.875,21.808333333333334,98.08333333333331,14.4,0.0,9.9,76,51.0,14.0,72.57127192982456,45.9,55.66,36.2,57.07,71.34,56.22,58.31,57.07,High
2022-11-17,57.0875,81.6875,750.5,19.079166666666666,90.83333333333331,13.4,0.1,9.7,80,51.0,14.0,70.54934210526315,41.66,59.01,36.2,55.87,69.84,55.29,57.06,55.87,High
2022-11-18,48.21666666666667,69.1375,793.375,25.53333333333333,84.66666666666667,13.8,0.1,8.0,80,51.0,14.0,63.21666666666667,46.44,61.03,36.2,54.53,68.16,54.42,53.87,54.53,High
2022-11-19,49.17916666666667,70.50416666666666,1156.7083333333333,36.96666666666667,68.41666666666667,14.8,0.0,7.4,71,51.0,14.0,64.17916666666667,58.33,56.74,36.2,57.03,71.29,56.66,50.64,57.03,High
2022-11-20,44.8875,64.0625,994.3333333333334,29.22083333333333,76.20833333333333,14.7,0.0,10.4,71,31.0,10.0,59.8875,50.99,52.37,22.6,50.57,63.21,50.19,47.53,50.57,High
2022-11-21,53.99583333333334,77.05833333333332,1098.2083333333333,31.4375,72.29166666666667,14.1,0.0,12.3,64,31.0,10.0,68.99583333333334,53.67,47.32,22.6,53.87,67.34,52.79,49.05,53.87,High
2022-11-22,57.975,82.78750000000001,1157.5833333333333,30.22083333333333,79.16666666666667,13.5,0.0,9.4,66,31.0,10.0,70.78289473684211,54.73,53.33,22.6,56.05,70.06,55.18,52.02,56.05,High
2022-11-23,60.95,87.03750000000001,947.3333333333334,21.125,99.25,13.7,0.0,9.2,75,31.0,10.0,71.5657894736842,47.65,57.22,22.6,55.37,69.21,54.66,56.42,55.37,High
2022-11-24,63.32083333333333,90.52916666666664,1164.4583333333333,31.116666666666664,88.41666666666667,12.7,0.0,8.0,79,31.0,10.0,72.18969298245614,57.1,62.07,22.6,58.95,73.69,58.45,55.81,58.95,High
2022-11-25,52.40833333333333,75.04583333333333,1152.1666666666667,32.729166666666664,91.58333333333331,14.7,0.0,8.4,66,31.0,10.0,67.40833333333333,58.73,53.23,22.6,55.68,69.6,54.97,52.89,55.68,High
2022-11-26,41.09166666666667,58.71666666666667,1113.7916666666667,30.741666666666664,82.58333333333333,15.4,0.0,9.2,55,31.0,10.0,56.09166666666667,55.06,46.38,22.6,48.87,61.09,48.38,46.06,48.87,High
2022-11-27,48.69583333333333,69.62916666666666,1029.8333333333333,28.075,87.91666666666667,14.1,0.0,8.3,68,36.0,9.0,63.69583333333333,52.56,55.04,25.2,53.41,66.76,52.97,51.73,53.41,High
2022-11-28,63.75416666666666,91.27083333333331,1038.0416666666667,25.554166666666664,97.83333333333331,13.3,0.0,8.0,76,36.0,9.0,72.30372807017544,52.32,59.98,25.2,57.78,72.22,57.16,57.39,57.78,High
2022-11-29,70.87916666666666,101.4125,1227.5833333333333,32.829166666666666,89.41666666666667,13.4,0.0,9.4,78,36.0,9.0,74.17872807017544,59.58,58.6,25.2,60.07,75.09,59.29,56.37,60.07,Very High
2022-11-30,63.020833333333336,90.02083333333333,1193.875,29.995833333333334,91.41666666666669,13.7,0.0,10.2,75,36.0,9.0,72.11074561403508,57.14,55.72,25.2,58.05,72.56,57.23,55.4,58.05,High
2022-12-01,55.145833333333336,78.75,1123.7916666666667,29.70833333333333,84.41666666666667,13.4,0.0,8.5,72,36.0,9.0,70.03837719298245,54.69,57.38,25.2,56.94,71.18,56.31,53.84,56.94,High
2022-12-02,54.2375,77.55,1240.6666666666667,32.31666666666667,89.125,13.5,0.0,7.2,70,36.0,9.0,69.2375,59.32,58.34,25.2,57.97,72.46,57.43,54.54,57.97,High
2022-12-03,51.37916666666666,73.41250000000001,1194.5416666666667,32.375,88.75,13.3,0.0,8.2,71,36.0,9.0,66.37916666666666,58.61,57.54,25.2,56.49,70.61,56.05,53.31,56.49,High
2022-12-04,46.75,66.82083333333334,1175.7083333333333,31.570833333333336,86.08333333333333,13.0,0.0,8.6,65,36.0,9.0,61.75,57.24,54.77,25.2,53.74,67.18,53.4,50.69,53.74,High
2022-12-05,47.85416666666666,68.375,1114.8333333333333,26.8375,91.33333333333331,12.1,0.0,9.7,71,36.0,9.0,62.85416666666666,53.41,56.89,25.2,53.65,67.06,53.35,52.38,53.65,High
2022-12-06,52.6,75.175,1197.6666666666667,29.95,85.20833333333333,12.5,0.0,8.1,67,36.0,9.0,67.6,56.13,57.04,25.2,56.26,70.32,55.73,53.05,56.26,High
2022-12-07,62.87916666666666,89.89166666666667,1217.5833333333333,27.72083333333333,94.33333333333331,12.2,0.0,7.0,71,36.0,9.0,72.0734649122807,56.16,60.8,25.2,58.81,73.51,58.25,56.89,58.81,High
2022-12-08,56.84583333333333,81.28333333333333,1397.75,32.82083333333333,87.29166666666667,12.0,0.0,7.6,72,36.0,9.0,70.48574561403508,61.77,60.6,25.2,59.54,74.42,59.04,55.12,59.54,High
2022-12-09,52.54166666666666,75.12916666666666,1283.4166666666667,33.96666666666667,85.25,12.2,0.0,9.0,70,36.0,9.0,67.54166666666666,60.63,57.38,25.2,57.43,71.79,56.92,53.1,57.43,High
2022-12-10,53.8625,76.97500000000001,1434.2083333333333,36.85833333333333,86.0,12.0,0.0,8.4,71,36.0,9.0,68.8625,65.33,58.97,25.2,59.45,74.31,58.96,54.01,59.45,High
2022-12-11,53.35,76.28750000000001,1558.2083333333333,40.2125,80.125,12.2,0.0,10.0,66,45.0,11.0,68.35,68.9,54.16,31.4,60.11,75.14,59.4,52.82,60.11,Very High
